‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
         0	-0.00177943	-0.00339002	0.00401872	-0.00016883	
         0	0.00047541	-0.00274578	-0.00177943	0.00208601	
         1	0.00369660	-0.00113519	0.00208601	-0.00016883	
         2	0.00273024	-0.00081307	0.00079753	0.00144177	
         3	0.00208601	-0.00145731	0.00015329	0.00111965	
         4	-0.00049095	0.00111965	-0.00145731	0.00111965	
         5	-0.00177943	-0.00081307	0.00305236	-0.00113519	
         6	-0.00532274	0.00240812	-0.00145731	-0.00081307	
         7	-0.00306790	0.00369660	-0.00339002	0.00273024	
         8	0.00595144	0.00337448	-0.00500062	-0.00113519	
         9	0.01013899	0.00047541	-0.00016883	0.00144177	
        10	0.00981687	0.00208601	-0.00339002	-0.00113519	
        11	0.01561501	-0.00113519	-0.00339002	0.00208601	
        12	0.01497078	-0.00145731	0.00079753	-0.00210154	
        13	0.00756203	-0.00274578	0.00337448	0.00176389	
        14	-0.01305360	-0.00081307	-0.00274578	0.00273024	
        15	-0.03141439	-0.00274578	-0.00113519	0.00369660	
        16	-0.01981810	-0.00242366	-0.00242366	0.00723991	
        17	-0.01079876	-0.00210154	-0.00306790	0.00595144	
        18	-0.00016883	-0.00016883	-0.00081307	0.00659567	
        19	0.00079753	0.00273024	0.00015329	0.00208601	
        20	0.00111965	-0.00177943	0.00047541	-0.00596698	
        21	-0.00918817	0.00466296	-0.00403426	-0.00532274	
        22	-0.00789969	-0.00177943	0.00015329	-0.00242366	
        23	-0.00210154	-0.01015453	0.00337448	-0.00628909	
        24	-0.00274578	-0.00661121	0.00208601	-0.00403426	
        25	-0.00274578	0.00240812	-0.00049095	-0.00306790	
        26	-0.00081307	0.00369660	0.00305236	0.00047541	
        27	-0.00403426	0.00144177	0.00015329	-0.00210154	
        28	-0.00789969	0.00176389	-0.00016883	-0.00177943	
        29	-0.00016883	0.00111965	-0.00081307	-0.00177943	
        30	-0.00145731	0.00111965	-0.00274578	-0.00177943	
        31	-0.00242366	-0.00049095	-0.00274578	-0.00145731	
        32	-0.00081307	0.00111965	-0.00210154	-0.00210154	
        33	-0.00049095	0.00047541	-0.00177943	-0.00274578	
        34	-0.00049095	0.00111965	0.00144177	0.00015329	
        35	0.00595144	0.00015329	-0.00081307	0.00111965	
        36	0.00273024	-0.00113519	-0.00177943	0.00788415	
        37	0.00369660	-0.00371214	0.00015329	0.00305236	
        38	0.00530720	-0.00403426	0.00079753	0.00208601	
        39	0.00498508	-0.00210154	0.00144177	0.00305236	
        40	0.00047541	-0.00081307	0.00015329	0.00144177	
        41	0.00305236	-0.00177943	0.00047541	-0.00016883	
        42	0.00305236	-0.00210154	0.00240812	0.00047541	
        43	0.00562932	0.00079753	-0.00145731	-0.00081307	
        44	0.00595144	-0.00016883	-0.00081307	-0.00145731	
        45	0.00530720	-0.00081307	-0.00177943	-0.00113519	
        46	0.00305236	0.00111965	-0.00371214	-0.00145731	
        47	0.00273024	0.00111965	-0.00596698	-0.00145731	
        48	0.00208601	0.00047541	-0.00081307	0.00111965	
        49	-0.00145731	0.00273024	0.00144177	0.00047541	
        50	-0.00145731	0.00756203	-0.00274578	-0.00274578	
        51	0.00208601	0.00756203	-0.00467850	0.00015329	
        52	0.00273024	0.00691779	-0.00113519	-0.00210154	
        53	-0.01112088	0.00530720	-0.00081307	-0.00177943	
        54	-0.01144300	0.00208601	-0.00306790	-0.00371214	
        55	-0.00145731	-0.00500062	-0.00049095	-0.00757757	
        56	0.00917263	-0.00564486	0.00466296	-0.00467850	
        57	0.00401872	-0.00435638	0.00498508	-0.00403426	
        58	0.01046111	-0.00049095	0.00176389	-0.00467850	
        59	-0.00145731	0.00208601	-0.00081307	-0.00274578	
        60	-0.00725545	0.00240812	-0.00145731	0.00369660	
        61	0.01464866	-0.00371214	-0.00177943	0.00949475	
        62	0.01400442	-0.00210154	-0.00049095	0.01110534	
        63	0.00820627	-0.00113519	0.00111965	0.01110534	
        64	0.00273024	0.00111965	0.00015329	0.01013899	
        65	-0.00500062	0.00208601	-0.00145731	0.00949475	
        66	-0.01047664	0.00240812	-0.00016883	0.00530720	
        67	-0.01788539	0.00144177	0.00047541	-0.01627479	
        68	-0.01401996	0.00401872	-0.00113519	-0.01047664	
        69	-0.01144300	0.00144177	0.00015329	-0.00564486	
        70	-0.00789969	0.00079753	-0.00113519	-0.00918817	
        71	-0.01015453	-0.00081307	-0.00435638	-0.00435638	
        72	-0.00371214	-0.00693333	-0.00210154	0.00337448	
        73	-0.00210154	-0.00371214	-0.00306790	0.00273024	
        75	-0.00242366	0.00111965	-0.00242366	0.00111965	
        76	-0.00016883	0.00015329	-0.00177943	0.00273024	
        77	0.00047541	-0.00274578	0.00015329	0.00369660	
        78	0.00111965	-0.00242366	0.00273024	0.00369660	
        79	0.00369660	-0.00274578	0.00144177	0.00498508	
        80	0.00530720	-0.00210154	0.00208601	0.00595144	
        80	0.00595144	-0.00210154	0.00273024	0.00401872	
        82	0.00530720	-0.00016883	0.00434084	0.00337448	
        82	0.00691779	-0.00081307	0.00949475	0.00079753	
        84	0.00047541	-0.00049095	0.00434084	-0.00628909	
        85	-0.00339002	-0.00081307	0.00144177	-0.00757757	
        86	0.00079753	-0.00242366	0.00466296	-0.00789969	
        87	0.00111965	-0.00113519	0.00337448	-0.00274578	
        88	0.00047541	-0.00049095	-0.00016883	-0.00242366	
        89	0.00079753	-0.00339002	-0.00016883	-0.00403426	
        90	-0.00403426	0.00079753	-0.00693333	0.00015329	
