‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
         0	0.00079753	-0.00435638	-0.00274578	-0.00693333	
         1	0.00047541	-0.00500062	0.00176389	-0.01305360	
         2	0.00208601	-0.00435638	0.00015329	-0.00757757	
         3	-0.00081307	-0.00242366	-0.00177943	-0.00210154	
         4	-0.00339002	0.00047541	-0.00306790	-0.00145731	
         5	-0.00628909	0.00015329	-0.00467850	0.00434084	
         6	0.00208601	-0.00177943	-0.00145731	-0.00145731	
         7	0.00401872	0.00079753	0.00208601	0.00337448	
         8	-0.00306790	0.00273024	0.00111965	0.01207170	
         9	-0.00596698	0.01207170	-0.02110658	0.00691779	
        10	-0.00113519	0.00401872	0.00240812	0.00176389	
        11	-0.00177943	-0.00081307	0.00627356	-0.00210154	
        12	0.00401872	-0.00403426	0.00723991	-0.00532274	
        13	0.00498508	-0.00210154	0.00401872	-0.01820751	
        14	0.00562932	-0.00210154	0.00562932	-0.00886605	
        15	0.00176389	0.00111965	0.00079753	-0.00725545	
        16	0.01207170	-0.00274578	0.00015329	-0.01144300	
        17	0.00691779	-0.00016883	-0.00628909	0.00498508	
        18	0.00434084	0.00015329	-0.00725545	0.00176389	
        19	0.00337448	-0.00210154	-0.00016883	0.00305236	
        20	-0.00596698	0.00079753	-0.00145731	0.00562932	
        21	-0.00177943	-0.00371214	0.00273024	-0.00274578	
        22	-0.01305360	-0.00403426	0.00144177	0.00176389	
        23	-0.01530843	0.00015329	-0.00661121	-0.00016883	
        24	-0.01788539	-0.00016883	-0.00435638	0.00047541	
        25	-0.01852963	-0.00049095	-0.00242366	-0.00049095	
        26	-0.01176512	-0.00016883	-0.00016883	0.00466296	
        27	-0.00274578	0.00047541	-0.00113519	0.00756203	
        28	0.00305236	0.00144177	0.00176389	-0.00661121	
        29	0.00434084	0.00079753	0.00047541	-0.00145731	
        30	0.00852839	-0.00016883	0.00240812	0.00240812	
        31	0.00627356	0.00337448	0.00176389	0.00079753	
        32	0.00562932	0.00047541	0.00273024	-0.00371214	
        33	0.00305236	-0.00113519	-0.00049095	0.00144177	
        34	-0.00145731	0.00208601	-0.00371214	0.00305236	
        35	-0.00049095	0.00144177	-0.00049095	0.00240812	
        36	0.00176389	0.00079753	-0.00306790	0.00047541	
        37	0.00240812	-0.00016883	0.00208601	0.00240812	
