‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
         0	-0.00242366	0.00273024	-0.00242366	0.00176389	
         0	-0.00564486	0.00434084	-0.00435638	0.00595144	
         1	-0.00049095	0.00401872	-0.00210154	0.00176389	
         2	0.00208601	0.00208601	-0.00435638	-0.00081307	
         3	0.00305236	0.00240812	-0.00177943	-0.00177943	
         4	-0.00081307	0.00369660	-0.00757757	-0.00016883	
         5	0.01271594	0.00047541	0.00595144	0.00015329	
         6	0.00595144	0.00144177	-0.00145731	0.00466296	
         7	0.00305236	0.00369660	-0.00339002	0.00240812	
         8	0.00691779	0.00305236	-0.00467850	0.00015329	
         9	0.00852839	-0.00306790	0.00949475	0.00111965	
        10	-0.00081307	-0.00596698	0.00820627	-0.00596698	
        11	-0.01466419	-0.00177943	0.00208601	-0.01305360	
        12	-0.00306790	-0.00210154	0.00273024	-0.01144300	
        13	0.00240812	-0.00532274	0.00047541	0.00917263	
        14	0.00208601	-0.00371214	-0.00306790	0.00498508	
        15	0.00434084	-0.00242366	0.00208601	0.00111965	
        16	0.00337448	-0.00274578	0.00208601	0.00305236	
        17	-0.00628909	-0.00274578	0.00144177	-0.00081307	
        18	-0.00789969	-0.00016883	0.00144177	-0.01498631	
        19	-0.00596698	-0.00016883	-0.00113519	-0.01273148	
        20	-0.00918817	0.00208601	-0.00113519	-0.00596698	
        21	-0.01627479	0.00208601	-0.00306790	-0.00210154	
        22	-0.00403426	0.00369660	-0.00403426	0.00015329	
        23	-0.00403426	0.00466296	-0.00500062	0.00305236	
        24	-0.00371214	0.00369660	-0.00435638	-0.00371214	
        25	-0.00049095	-0.00081307	0.00820627	-0.00210154	
        26	0.00111965	-0.00049095	0.00208601	-0.00113519	
        27	-0.00016883	0.00208601	-0.00113519	0.00047541	
        28	0.00917263	0.00015329	-0.00016883	-0.00016883	
        29	0.01142746	-0.00081307	-0.00177943	0.00498508	
        30	0.00273024	-0.00242366	0.00305236	0.00659567	
        31	0.00337448	-0.00274578	0.00369660	0.00111965	
        32	0.00176389	-0.00435638	0.00466296	0.00627356	
        33	0.00434084	-0.00339002	0.00434084	0.00144177	
        34	0.00498508	-0.00532274	0.00305236	-0.00274578	
        35	0.00273024	-0.00049095	0.00079753	0.00466296	
        36	-0.00081307	0.00047541	0.00208601	0.00498508	
        37	-0.00242366	0.00144177	-0.00951029	0.00176389	
        38	0.00176389	-0.00210154	-0.00049095	0.00176389	
        39	0.00079753	0.00434084	0.00111965	0.00240812	
        40	0.00111965	0.00434084	-0.01240936	-0.00210154	
        41	0.00466296	0.00337448	-0.00403426	-0.00435638	
        42	0.00144177	0.00530720	-0.00306790	-0.00564486	
        43	0.00240812	0.00337448	-0.00532274	0.01368230	
        44	-0.00274578	0.00369660	-0.00532274	0.01336018	
        45	-0.00822181	0.00434084	-0.00661121	0.00562932	
        46	-0.00918817	0.00176389	-0.00177943	0.00111965	
        48	-0.00081307	0.00047541	-0.00145731	0.00111965	
        48	-0.00306790	-0.00081307	-0.00049095	-0.01466419	
        49	0.00079753	-0.00274578	0.00305236	-0.00854393	
        50	0.00240812	-0.00210154	0.00240812	-0.01434208	
        51	0.00466296	-0.00435638	0.00723991	-0.01015453	
        52	0.00498508	-0.00435638	0.00434084	-0.00403426	
        53	0.00144177	-0.00210154	0.00401872	0.00562932	
        55	-0.00822181	0.00111965	-0.00274578	0.00788415	
        56	-0.00435638	-0.00403426	0.00273024	-0.00145731	
        57	0.00240812	-0.00435638	0.00305236	-0.00177943	
        58	0.00917263	-0.00628909	0.00530720	-0.00113519	
        59	0.01078323	-0.00145731	0.00144177	-0.00403426	
        60	0.00788415	-0.00113519	0.00240812	-0.00757757	
        61	0.00852839	-0.00145731	-0.00435638	-0.00564486	
        62	0.00434084	-0.00081307	0.00305236	-0.00403426	
        63	-0.00983241	0.00176389	0.00337448	-0.00435638	
        64	-0.01498631	0.00111965	-0.00016883	-0.00596698	
        65	-0.02046234	0.00498508	-0.00081307	-0.00661121	
        66	-0.00983241	-0.00049095	0.00176389	0.00434084	
        67	-0.00532274	0.00208601	0.00015329	0.00562932	
        68	0.00337448	0.00401872	-0.00371214	0.00498508	
        69	0.00788415	-0.00177943	0.00015329	-0.00306790	
        70	-0.00081307	-0.00177943	-0.00177943	0.00079753	
        71	0.00273024	-0.00306790	0.00144177	-0.00049095	
        72	-0.00725545	-0.00403426	0.00047541	0.00337448	
        73	-0.01595267	-0.00049095	-0.00242366	0.00595144	
        74	-0.00918817	-0.00049095	-0.00371214	0.00595144	
        75	0.00047541	-0.00274578	-0.00049095	0.00176389	
        76	-0.00145731	-0.00145731	-0.00177943	-0.00081307	
        77	-0.00274578	0.00208601	-0.00242366	-0.00049095	
        78	-0.00306790	0.00434084	-0.00306790	0.00756203	
        79	-0.00467850	0.00401872	-0.00854393	0.01432654	
        80	0.00079753	0.00369660	-0.01691903	0.00144177	
        81	0.00595144	0.00240812	0.00144177	-0.00210154	
        82	0.01239382	0.00208601	0.01303806	-0.00177943	
        83	0.00788415	0.00273024	-0.00049095	-0.00339002	
        84	0.01400442	0.00144177	-0.00596698	-0.00113519	
        85	0.00852839	-0.00274578	-0.00403426	-0.00371214	
        86	-0.00145731	0.00208601	-0.00532274	-0.00918817	
        87	-0.00081307	0.00434084	-0.01240936	-0.00757757	
        88	0.00337448	-0.00371214	0.01207170	-0.01788539	
        89	-0.01788539	-0.00242366	0.00723991	0.00240812	
        90	-0.01401996	0.00047541	-0.00177943	-0.00371214	
        91	-0.00983241	-0.00081307	0.00111965	0.00562932	
        92	-0.00532274	-0.00306790	0.00337448	0.00273024	
        93	-0.00532274	-0.00145731	0.00273024	0.00498508	
        94	-0.00274578	-0.00177943	-0.00049095	0.00305236	
        95	-0.00467850	-0.00145731	-0.00113519	0.00562932	
        96	0.00273024	-0.00145731	0.00176389	-0.00081307	
        97	0.00885051	-0.00145731	0.00047541	-0.00113519	
        98	0.00240812	-0.00242366	0.00240812	0.00047541	
        99	-0.00177943	0.00079753	-0.00757757	0.00144177	
       100	-0.00049095	-0.00145731	0.00015329	-0.00725545	
       101	-0.00145731	-0.00210154	0.00434084	-0.00628909	
       102	0.00015329	-0.00113519	0.00208601	-0.00371214	
       103	-0.00210154	0.00176389	0.00015329	-0.00339002	
       104	0.00079753	0.00273024	-0.00274578	-0.00210154	
       105	0.00273024	0.00208601	-0.00145731	-0.00210154	
       106	-0.00403426	0.00434084	-0.00789969	0.00434084	
       107	0.01110534	0.00047541	0.00530720	0.00659567	
       108	0.00723991	-0.00274578	0.00337448	0.00627356	
       109	0.00562932	-0.00339002	-0.00016883	0.00176389	
       110	0.00369660	-0.00500062	0.00015329	-0.00435638	
       111	0.00111965	0.00015329	-0.00371214	-0.00467850	
       112	-0.00081307	-0.00306790	-0.00016883	-0.00242366	
       113	-0.00693333	0.00015329	-0.00435638	0.00981687	
       114	-0.00918817	-0.00145731	-0.00403426	0.00530720	
       115	-0.00693333	-0.00177943	-0.00274578	-0.00693333	
       116	-0.00016883	-0.00113519	-0.00532274	-0.00403426	
       117	0.00015329	0.00208601	-0.00145731	-0.00145731	
       118	0.00240812	-0.00016883	0.00240812	-0.00113519	
       119	0.00691779	0.00144177	0.00401872	-0.00016883	
       120	0.00562932	0.00144177	0.00176389	-0.00145731	
       121	0.00659567	0.00208601	0.00401872	-0.00435638	
       122	0.00595144	0.00047541	0.00659567	-0.00596698	
       123	0.01271594	-0.00274578	0.00788415	-0.00983241	
       124	-0.00049095	0.00305236	0.00917263	0.00530720	
       125	0.00949475	0.00176389	-0.00210154	0.00691779	
       126	0.00691779	0.00047541	-0.00177943	-0.00145731	
       127	0.00337448	-0.00016883	-0.00467850	-0.00242366	
       128	0.01013899	-0.00049095	0.00208601	0.00240812	
       129	0.00788415	-0.00371214	0.00305236	0.00401872	
       130	0.00820627	-0.00532274	0.00434084	0.00530720	
       131	0.00176389	-0.00532274	0.00627356	-0.00049095	
       132	-0.00822181	-0.00403426	0.00047541	-0.00113519	
       133	-0.01337572	-0.00242366	-0.00725545	-0.00177943	
       134	-0.02014022	-0.00306790	-0.00177943	-0.00210154	
       135	-0.01176512	-0.00339002	-0.00918817	0.00176389	
       136	-0.01176512	-0.00435638	-0.00274578	0.00273024	
       137	-0.01176512	-0.00306790	0.00305236	0.00401872	
       138	-0.01015453	-0.00049095	-0.00274578	0.00144177	
       139	-0.00757757	0.00111965	-0.00306790	-0.00049095	
       140	-0.00435638	0.00369660	-0.00789969	-0.00081307	
       141	-0.00435638	0.00208601	-0.00467850	-0.00242366	
       142	-0.00049095	0.00111965	-0.00435638	-0.00371214	
       143	0.00917263	0.00047541	-0.00145731	-0.00596698	
       144	0.01078323	0.00047541	-0.00016883	-0.00371214	
       144	0.00047541	0.00756203	-0.00435638	0.00015329	
       145	-0.00596698	0.00401872	-0.00467850	0.00240812	
       146	-0.00177943	0.00176389	-0.00049095	0.00595144	
       147	0.00466296	-0.00274578	0.00111965	0.00047541	
       148	-0.00435638	-0.00081307	-0.00145731	-0.00403426	
       149	-0.01079876	-0.00177943	-0.00145731	-0.00467850	
       150	-0.00339002	-0.00016883	-0.00177943	0.00176389	
       151	0.00176389	-0.00113519	-0.00113519	0.00208601	
       152	-0.00177943	0.00079753	-0.00274578	0.00047541	
       153	0.00144177	-0.00403426	-0.00049095	-0.00822181	
       154	0.00079753	-0.00242366	0.00240812	-0.00661121	
       155	-0.00661121	0.00111965	-0.00500062	0.01658137	
       156	-0.00886605	0.00305236	-0.00693333	0.00498508	
       157	0.00691779	-0.00177943	0.00691779	0.00240812	
       158	0.01207170	-0.00210154	0.00369660	0.00079753	
       159	0.00691779	0.00079753	-0.00500062	0.00917263	
       160	0.01142746	-0.00081307	0.00305236	0.00176389	
       161	0.00852839	0.00208601	0.00240812	-0.00177943	
       162	0.00208601	0.00401872	0.00015329	-0.00210154	
       163	-0.00145731	0.00273024	-0.00210154	0.00176389	
       164	-0.01273148	0.00144177	-0.00371214	0.00176389	
       165	-0.00435638	-0.00113519	-0.00049095	-0.00532274	
       166	0.00047541	-0.00145731	-0.00016883	-0.00049095	
       167	-0.00339002	0.00176389	0.00208601	-0.00081307	
       168	-0.00500062	0.00047541	0.01142746	-0.00016883	
       169	-0.00757757	-0.00242366	0.00498508	-0.00145731	
       170	-0.00661121	0.00240812	-0.00210154	0.00369660	
       171	-0.00596698	-0.00210154	0.00530720	0.00015329	
       172	-0.00113519	0.00305236	-0.00596698	0.00337448	
       173	0.00176389	0.00047541	-0.00693333	0.00176389	
       174	0.00305236	-0.00339002	0.00337448	-0.00435638	
       175	-0.00242366	-0.00049095	-0.00210154	-0.00145731	
       176	-0.00113519	0.00208601	-0.00177943	0.00273024	
       177	0.00595144	-0.00274578	-0.00242366	-0.00145731	
       178	0.00047541	0.00111965	-0.00500062	0.00691779	
       179	-0.00435638	0.00723991	-0.00403426	0.00852839	
       180	0.00756203	-0.00403426	0.00176389	-0.00725545	
       181	0.00176389	0.00144177	0.00401872	-0.00693333	
       182	0.00240812	0.00401872	0.00015329	-0.00339002	
       183	0.00627356	-0.01820751	0.03204310	0.04428363	
